date,num_passengers
1/1/23,2046950
1/2/23,2368194
1/3/23,2212528
1/4/23,1985965
1/5/23,2031976
1/6/23,2043547
1/7/23,1917290
1/8/23,2226917
1/9/23,2009868
1/10/23,1678250
1/11/23,1723117
1/12/23,2189475
1/13/23,2316713
1/14/23,1803651
1/15/23,2038119
1/16/23,2244873
1/17/23,1803155
1/18/23,1674129
1/19/23,1997346
1/20/23,2089417
1/21/23,1662736
1/22/23,2141703
1/23/23,1970280
1/24/23,1567069
1/25/23,1677909
1/26/23,2097825
1/27/23,2122066
1/28/23,1653401
1/29/23,2144644
1/30/23,1932983
1/31/23,1534786
2/1/23,1608110
2/2/23,2042277
2/3/23,2102998
2/4/23,1669806
2/5/23,2202873
2/6/23,2040256
2/7/23,1626257
2/8/23,1796332
2/9/23,2158573
2/10/23,2254803
2/11/23,1809116
2/12/23,2113837
2/13/23,2073820
2/14/23,1674639
2/15/23,2017144
2/16/23,2339970
2/17/23,2509923
2/18/23,2065901
2/19/23,2319072
2/20/23,2479184
2/21/23,2116450
2/22/23,2006058
2/23/23,2322309
2/24/23,2425335
2/25/23,2057210
2/26/23,2402716
2/27/23,2235417
2/28/23,1890744
3/1/23,2066150
3/2/23,2316735
3/3/23,2375579
3/4/23,2040488
3/5/23,2422425
3/6/23,2265014
3/7/23,1908536
3/8/23,2130141
3/9/23,2417279
3/10/23,2562561
3/11/23,2279320
3/12/23,2539093
3/13/23,2393346
3/14/23,2026905
3/15/23,2284299
3/16/23,2483683
3/17/23,2517226
3/18/23,2278805
3/19/23,2608462
3/20/23,2414648
3/21/23,2038001
3/22/23,2203488
3/23/23,2451051
3/24/23,2508221
3/25/23,2208541
3/26/23,2522600
3/27/23,2383816
3/28/23,2039138
3/29/23,2210676
3/30/23,2487147
3/31/23,2536088
4/1/23,2253892
4/2/23,2545494
4/3/23,2404966
4/4/23,2080546
4/5/23,2209680
4/6/23,2532778
4/7/23,2475896
4/8/23,2093075
4/9/23,2387558
4/10/23,2523060
4/11/23,2132314
4/12/23,2168441
4/13/23,2443213
4/14/23,2532863
4/15/23,2150251
4/16/23,2589787
4/17/23,2455406
4/18/23,2070303
4/19/23,2227164
4/20/23,2534751
4/21/23,2585925
4/22/23,2057354
4/23/23,2570184
4/24/23,2425693
4/25/23,2015155
4/26/23,2183316
4/27/23,2522454
4/28/23,2507149
4/29/23,2021030
4/30/23,2517228
5/1/23,2432660
5/2/23,1998688
5/3/23,2167265
5/4/23,2509080
5/5/23,2508503
5/6/23,2043895
5/7/23,2590391
5/8/23,2476280
5/9/23,2089430
5/10/23,2261499
5/11/23,2598784
5/12/23,2605959
5/13/23,2114178
5/14/23,2509333
5/15/23,2597124
5/16/23,2173966
5/17/23,2312740
5/18/23,2641296
5/19/23,2656058
5/20/23,2213613
5/21/23,2673457
5/22/23,2592466
5/23/23,2272281
5/24/23,2435811
5/25/23,2672648
5/26/23,2744596
5/27/23,2206475
5/28/23,2257797
5/29/23,2596978
5/30/23,2349003
5/31/23,2259502
6/1/23,2477726
6/2/23,2534892
6/3/23,2221890
6/4/23,2657217
6/5/23,2560508
6/6/23,2233160
6/7/23,2355913
6/8/23,2641522
6/9/23,2675115
6/10/23,2322170
6/11/23,2732330
6/12/23,2636399
6/13/23,2343000
6/14/23,2465528
6/15/23,2745743
6/16/23,2785332
6/17/23,2436004
6/18/23,2640349
6/19/23,2742546
6/20/23,2449389
6/21/23,2502239
6/22/23,2737829
6/23/23,2771672
6/24/23,2456148
6/25/23,2769270
6/26/23,2687481
6/27/23,2391503
6/28/23,2539399
6/29/23,2759141
6/30/23,2884783
7/1/23,2588334
7/2/23,2529730
7/3/23,2288645
7/4/23,2007441
7/5/23,2492923
7/6/23,2540237
7/7/23,2555001
7/8/23,2431155
7/9/23,2644639
7/10/23,2688266
7/11/23,2382030
7/12/23,2458378
7/13/23,2726021
7/14/23,2738461
7/15/23,2486503
7/16/23,2741762
7/17/23,2747357
7/18/23,2410972
7/19/23,2519328
7/20/23,2754386
7/21/23,2782146
7/22/23,2485646
7/23/23,2800368
7/24/23,2695657
7/25/23,2358536
7/26/23,2510210
7/27/23,2724438
7/28/23,2787676
7/29/23,2457943
7/30/23,2815068
7/31/23,2697794
8/1/23,2370591
8/2/23,2431864
8/3/23,2671674
8/4/23,2690858
8/5/23,2403611
8/6/23,2743779
8/7/23,2602015
8/8/23,2387917
8/9/23,2407319
8/10/23,2654716
8/11/23,2648556
8/12/23,2322724
8/13/23,2684914
8/14/23,2548291
8/15/23,2266285
8/16/23,2298936
8/17/23,2599098
8/18/23,2601291
8/19/23,2252655
8/20/23,2535369
8/21/23,2487458
8/22/23,2101467
8/23/23,2169394
8/24/23,2501995
8/25/23,2509342
8/26/23,2063356
8/27/23,2538318
8/28/23,2349783
8/29/23,1888361
8/30/23,2014332
8/31/23,2619753
9/1/23,2742962
9/2/23,2090550
9/3/23,2081144
9/4/23,2645012
9/5/23,2243518
9/6/23,1966818
9/7/23,2283466
9/8/23,2405867
9/9/23,1986960
9/10/23,2584116
9/11/23,2402206
9/12/23,1991959
9/13/23,2113134
9/14/23,2594681
9/15/23,2583450
9/16/23,1978051
9/17/23,2648872
9/18/23,2495564
9/19/23,1992774
9/20/23,2207680
9/21/23,2651017
9/22/23,2684773
9/23/23,2065137
9/24/23,2673136
9/25/23,2543611
9/26/23,2058961
9/27/23,2138667
9/28/23,2616213
9/29/23,2602713
9/30/23,2140656
10/1/23,2682443
10/2/23,2473560
10/3/23,2001087
10/4/23,2213969
10/5/23,2697601
10/6/23,2762717
10/7/23,2232660
10/8/23,2690153
10/9/23,2681432
10/10/23,2293858
10/11/23,2372544
10/12/23,2717399
10/13/23,2673246
10/14/23,2226278
10/15/23,2797326
10/16/23,2627942
10/17/23,2213819
10/18/23,2333408
10/19/23,2695224
10/20/23,2672262
10/21/23,2161735
10/22/23,2770224
10/23/23,2607835
10/24/23,2138741
10/25/23,2251047
10/26/23,2630523
10/27/23,2615422
10/28/23,2015907
10/29/23,2520086
10/30/23,2292796
10/31/23,1665839
11/1/23,2157473
11/2/23,2415581
11/3/23,2502391
11/4/23,2045614
11/5/23,2669284
11/6/23,2491545
11/7/23,2019225
11/8/23,2209479
11/9/23,2658959
11/10/23,2591818
11/11/23,2025517
11/12/23,2683745
11/13/23,2533300
11/14/23,2035761
11/15/23,2224646
11/16/23,2550045
11/17/23,2692471
11/18/23,2379699
11/19/23,2608680
11/20/23,2532525
11/21/23,2647461
11/22/23,2741610
11/23/23,1547419
11/24/23,2199057
11/25/23,2605387
11/26/23,2908785
11/27/23,2633263
11/28/23,2171943
11/29/23,1948492
11/30/23,2276703
12/1/23,2308362
12/2/23,1864999
12/3/23,2321965
12/4/23,2266792
12/5/23,1834118
12/6/23,1998620
12/7/23,2385629
12/8/23,2431077
12/9/23,1975896
12/10/23,2419762
12/11/23,2313610
12/12/23,1954074
12/13/23,2129193
12/14/23,2502604
12/15/23,2622770
12/16/23,2252933
12/17/23,2495579
12/18/23,2366275
12/19/23,2291458
12/20/23,2514171
12/21/23,2650811
12/22/23,2775193
12/23/23,2606577
12/24/23,1972309
12/25/23,2028266
12/26/23,2665034
12/27/23,2663517
12/28/23,2633264
12/29/23,2636605
12/30/23,2563962
12/31/23,2116715